Kotijoukkue,Vierasjoukkue,Kotijoukkueen_maalit,Vierasjoukkueen_maalit,Kotijoukkueen_kerroin,Tasapelikerroin,Vierasjoukkueen_kerroin,Kotil,Vierasl,Kotijoukkue_laukausten_ka,Vierasjoukkue_laukausten_ka,Kotijoukkue_koti_laukausten_ka,Kotijoukkue_vieras_laukausten_ka,Vierasjoukkue_koti_laukausten_ka,Vierasjoukkue_vieras_laukausten_ka
Wolves,West Ham,1,0,2.36,3.24,3.23,9,10.0,11.5,10.5,11.5,11.33,10.0,10.5
Arsenal,Chelsea,1,0,1.73,3.67,5.16,12,8.0,16.0,11.0,16.0,12.5,20.67,11.0
Fulham,Tottenham,2,0,1.85,3.9,4.0,13,12.0,14.33,11.5,14.33,10.67,14.75,11.5
Leeds,Manchester Utd,0,3,4.46,3.75,1.81,11,18.0,7.0,9.67,7.0,8.5,12.33,9.67
Bournemouth,Brentford,1,2,1.75,4.23,4.26,17,10.0,13.0,13.67,13.0,16.67,15.0,13.67
Everton,West Ham,1,1,2.13,3.21,3.83,13,9.0,10.67,11.0,10.67,10.25,10.0,11.0
Sunderland,Nottingham,2,4,3.97,3.56,1.96,11,11.0,16.0,14.33,16.0,8.5,9.67,14.33
Manchester City,Brighton,2,2,1.8,4.06,4.13,11,15.0,14.0,14.0,14.0,11.0,12.25,14.0
Burnley,Wolves,1,2,3.88,3.37,2.05,10,5.0,9.67,14.5,9.67,7.33,11.5,14.5
West Ham,Newcastle,0,1,3.33,3.47,2.2,9,9.0,10.5,7.67,10.5,11.0,12.0,7.67
Chelsea,Leeds,1,0,1.22,6.88,12.16,20,3.0,21.0,10.33,21.0,11.0,7.0,10.33
Manchester Utd,Arsenal,1,1,5.02,3.57,1.77,10,17.0,13.5,11.0,13.5,9.67,16.0,11.0
Tottenham,Bournemouth,2,2,2.81,3.73,2.39,12,17.0,15.67,16.5,15.67,11.5,13.0,16.5
Brentford,Aston Villa,0,1,2.15,3.87,3.14,13,12.0,16.0,13.0,16.0,13.67,15.0,13.0
Brighton,Fulham,2,1,2.0,3.53,3.85,9,6.0,13.33,13.0,13.33,14.0,14.33,13.0
Crystal Palace,Sunderland,1,0,1.55,4.18,6.21,19,15.0,17.33,6.33,17.33,10.5,16.0,6.33
Liverpool,Burnley,3,1,1.1,10.87,24.13,28,6.0,12.67,8.0,12.67,12.5,9.67,8.0
Nottingham,Manchester City,1,0,3.79,3.78,1.94,9,14.0,10.0,9.5,10.0,14.33,14.0,9.5
Wolves,Everton,1,1,2.83,2.97,2.84,11,12.0,11.67,9.67,11.67,14.5,10.67,9.67
West Ham,Leeds,2,0,1.76,3.77,4.73,8,10.0,13.0,10.5,13.0,11.0,7.0,10.5
Brentford,Everton,1,1,2.07,3.58,3.55,12,14.0,20.0,7.5,20.0,13.67,10.67,7.5
Liverpool,Newcastle,2,0,1.37,5.43,7.71,12,3.0,13.0,10.0,13.0,12.5,12.0,10.0
Manchester Utd,Sunderland,3,2,1.51,4.53,6.29,10,12.0,17.0,3.5,17.0,9.67,16.0,3.5
Nottingham,Arsenal,0,0,4.21,3.44,1.94,6,13.0,14.0,10.0,14.0,14.33,16.0,10.0
Tottenham,Manchester City,0,1,3.88,4.25,1.82,10,12.0,18.5,7.0,18.5,11.5,14.0,7.0
Brighton,Bournemouth,2,1,1.97,3.85,3.62,11,19.0,14.5,14.0,14.5,14.0,13.0,14.0
Chelsea,Burnley,4,0,1.17,8.21,15.99,19,7.0,23.0,9.0,23.0,11.0,9.67,9.0
Crystal Palace,Aston Villa,4,1,2.26,3.5,3.18,19,16.0,16.5,10.0,16.5,10.5,15.0,10.0
Wolves,Fulham,1,2,2.42,3.26,3.08,18,11.0,8.5,15.0,8.5,14.5,14.33,15.0
Manchester City,Liverpool,0,2,3.12,3.8,2.19,16,8.0,13.0,14.0,13.0,7.0,13.0,14.0
Newcastle,Nottingham,4,3,1.91,3.83,3.86,13,17.0,11.0,13.0,11.0,10.0,14.0,13.0
